item_name,PDF,item_title
penny,1," ""Penny Blouse PDF, girl blouse pattern, girl pdf, sewing pattern, children's pattern, top pattern, summer pdf, girl pattern, flutter pattern"""
sadie,1," 'Sadie Skirt PDF, girl skirt pdf, skirt pdf, sewing pdf, skirt sewing pattern, easy PDF, sewing patterns, toddler patterns, tween pdf'"
custom,0, 'Custom Listing for CariJane.'
macy,1," 'Macy Pinafore PDF,suspender skirt pdf,pinafore PDF,pinny pattern, tween pinafore, sewing patterns, girl patterns, toddler pdf, kids patterns'"
custom,0, 'Custom Listing for Melanie.'
mona,1," 'Mona Shorts PDF, bubble shorts pdf, girl shorts pattern, bloomer pdf, sewing pattern, girl pdf, toddler shorts pdf, tween pattern, kids pdf'"
mona,1," 'Mona Shorts PDF, girls sewing pdf, tween pattern, girl pattern, bloomer pdf, sewing pattern, sewing pdf, toddler pattern, bubble shorts pdf'"
custom,0," ""Girl's Pinafore, girls pinny, toddler pinafore, fall pinafore, girls clothing, girls pinafore dress, pinafore dress, rifle paper dress"""
angelica,1," 'Angelica PDF, dress pattern, girl pdf, dress pdf, pdf sewing pattern, girl top pattern, blouse pattern, girl pattern, flutter sleeves,'"
angelica,1," 'Angelica PDF, blouse pattern, girl pattern, sewing pattern, sewing pdf, toddler pdf, tween pattern, top pattern, girl sewing, flutter sleeve'"
mona,1," 'Mona Shorts PDF, bubble shorts, toddler shorts, girls sewing pdf, baby pdf, baby pattern, bloomer pdf, bloomer pattern, tween shorts'"
laurel,1," ""Laurel Blouse PDF, girls blouse pattern, blouse pdf, sewing patterns, children's blouse, tween pattern, ruffle top pdf, toddler pdf"""
laurel,1," ""Laurel Blouse PDF, girls blouse pattern, blouse pdf, girl sewing pattern, children's blouse, tween pattern, ruffle top pdf, toddler pdf,"""
ainsley,1," 'Ainsley Pinafore, girls sewing pattern, girl pinafore, pinafore pdf, pinny sewing pattern, girl pdf, girl dress, dress pattern, kids pattern'"
custom,0," ""Girl Clothing Set, girl blouse, girl top, children's clothing, girl boho, bubble shorts, toddler shorts, size 12mo, 18mo, 2T, 3T, 4T, 5T, 6"""
custom,0," ""Baby Bonnet, girl hat, toddler bonnet, summer bonnet, children's clothing, baby clothing, floral bonnet, pintuck bonnet"""
laurel,1," ""Laurel Blouse PDF, girls blouse pattern, sewing pdf, blouse pdf, sewing patterns, children's patterns, long sleeve pdf, ruffle blouse pdf"""
lola,1," 'Lola Blouse PDF, girl blouse pattern, girl pdf, bell sleeve pdf, girl pattern, girl sewing, flounce collar pdf, children pattern,toddler pdf'"
